statefips,state,state_name,agi_stub,total_n1_0,total_n2_0,total_y1_agi_0,total_y2_agi_0,total_n1_1,total_n2_1,total_y1_agi_1,total_y2_agi_1,total_n1_2,total_n2_2,total_y1_agi_2,total_y2_agi_2,total_n1_3,total_n2_3,total_y1_agi_3,total_y2_agi_3,total_n1_4,total_n2_4,total_y1_agi_4,total_y2_agi_4,total_n1_5,total_n2_5,total_y1_agi_5,total_y2_agi_5,total_n1_6,total_n2_6,total_y1_agi_6,total_y2_agi_6,nonmig_n1_0,nonmig_n2_0,nonmig_y1_agi_0,nonmig_y2_agi_0,nonmig_n1_1,nonmig_n2_1,nonmig_y1_agi_1,nonmig_y2_agi_1,nonmig_n1_2,nonmig_n2_2,nonmig_y1_agi_2,nonmig_y2_agi_2,nonmig_n1_3,nonmig_n2_3,nonmig_y1_agi_3,nonmig_y2_agi_3,nonmig_n1_4,nonmig_n2_4,nonmig_y1_agi_4,nonmig_y2_agi_4,nonmig_n1_5,nonmig_n2_5,nonmig_y1_agi_5,nonmig_y2_agi_5,nonmig_n1_6,nonmig_n2_6,nonmig_y1_agi_6,nonmig_y2_agi_6,outflow_n1_0,outflow_n2_0,outflow_y1_agi_0,outflow_y2_agi_0,outflow_n1_1,outflow_n2_1,outflow_y1_agi_1,outflow_y2_agi_1,outflow_n1_2,outflow_n2_2,outflow_y1_agi_2,outflow_y2_agi_2,outflow_n1_3,outflow_n2_3,outflow_y1_agi_3,outflow_y2_agi_3,outflow_n1_4,outflow_n2_4,outflow_y1_agi_4,outflow_y2_agi_4,outflow_n1_5,outflow_n2_5,outflow_y1_agi_5,outflow_y2_agi_5,outflow_n1_6,outflow_n2_6,outflow_y1_agi_6,outflow_y2_agi_6,inflow_n1_0,inflow_n2_0,inflow_y1_agi_0,inflow_y2_agi_0,inflow_n1_1,inflow_n2_1,inflow_y1_agi_1,inflow_y2_agi_1,inflow_n1_2,inflow_n2_2,inflow_y1_agi_2,inflow_y2_agi_2,inflow_n1_3,inflow_n2_3,inflow_y1_agi_3,inflow_y2_agi_3,inflow_n1_4,inflow_n2_4,inflow_y1_agi_4,inflow_y2_agi_4,inflow_n1_5,inflow_n2_5,inflow_y1_agi_5,inflow_y2_agi_5,inflow_n1_6,inflow_n2_6,inflow_y1_agi_6,inflow_y2_agi_6,samest_n1_0,samest_n2_0,samest_y1_agi_0,samest_y2_agi_0,samest_n1_1,samest_n2_1,samest_y1_agi_1,samest_y2_agi_1,samest_n1_2,samest_n2_2,samest_y1_agi_2,samest_y2_agi_2,samest_n1_3,samest_n2_3,samest_y1_agi_3,samest_y2_agi_3,samest_n1_4,samest_n2_4,samest_y1_agi_4,samest_y2_agi_4,samest_n1_5,samest_n2_5,samest_y1_agi_5,samest_y2_agi_5,samest_n1_6,samest_n2_6,samest_y1_agi_6,samest_y2_agi_6
02,AK,Alaska,2,33127,51224,841789,589237,10865,12724,281410,194651,6872,12161,155910,123044,4331,9772,104814,77557,2558,4865,66263,45704,3115,4547,86572,54857,5386,7155,146817,93422,29359,46056,733003,520789,8988,10575,223911,160193,5952,10673,134043,106443,3933,9012,93811,70478,2352,4542,59696,42030,2959,4355,81032,52026,5175,6899,140507,89616,2447,3409,78157,43399,1188,1385,35654,21289,558,884,15007,9833,252,515,8545,4442,144,244,6298,2614,141,179,5969,2458,164,202,6682,2760,2789,3664,82243,51330,1474,1668,45824,27532,659,1018,15830,11953,260,455,7310,4653,151,229,5211,2688,101,122,3545,1912,144,172,4520,2589,979,1504,26542,17118,403,481,11674,6925,261,470,6035,4647,138,305,3692,2424,55,94,1356,985,55,70,1994,917,67,84,1789,1216
02,AK,Alaska,3,66594,109934,2421017,2483460,18162,22423,530676,640444,18298,32450,639149,698336,10015,22905,380785,383565,5934,11379,233543,226114,6582,10070,291511,249786,7603,10707,345350,285212,60199,100029,2194389,2250611,15620,19215,455186,552709,16092,28650,559592,614957,9247,21287,349903,354620,5578,10792,218139,212692,6317,9712,278316,239885,7345,10373,333250,275746,5004,7832,197042,182224,2056,2705,64346,70736,1729,3036,72390,65824,475,988,21024,18200,258,434,13164,9491,243,348,13476,8994,243,321,12641,8976,4855,7485,170559,176174,2026,2605,59846,69465,1686,2899,60102,63655,542,1113,22135,20575,240,391,10797,9084,181,238,8837,6805,180,239,8839,6588,1540,2420,56068,56673,516,603,15643,18268,520,901,19454,19723,226,505,8746,8368,116,196,4607,4338,84,120,4356,3096,78,95,3260,2878
02,AK,Alaska,4,49851,92177,2916015,3079631,5041,7161,218466,302915,13302,25311,709906,813930,10387,25001,613747,644289,6401,12723,396853,398878,6614,10346,437222,412316,8106,11635,539819,507301,46400,85609,2723840,2868157,4439,6221,192928,266628,11946,22725,639487,731248,9654,23171,569178,599012,6078,12127,377117,378837,6379,10003,418505,397537,7904,11362,526621,494892,2755,5540,161547,168771,466,743,20393,28159,1020,2191,55961,62357,594,1598,37328,36635,214,382,15223,13153,207,288,15403,12891,254,338,17235,15574,2446,4810,133232,149807,435,718,18865,26240,984,1962,50732,60185,525,1336,31384,32375,207,381,11986,12721,156,231,11013,9826,139,182,9250,8458,1005,1758,58943,61666,167,222,6672,10046,372,624,19686,22496,208,494,13184,12900,116,215,7749,7320,79,112,7702,4952,63,91,3948,3950
02,AK,Alaska,5,35486,74774,2939844,3078174,1660,2654,97602,141852,7404,16429,544358,638213,7842,21636,631017,680117,5551,12108,466983,483768,5763,10209,523928,501867,7266,11738,675954,632354,33393,70295,2776936,2897412,1447,2303,86359,123700,6668,14860,492848,574985,7317,20198,588647,634664,5281,11555,442603,460030,5590,9904,507237,486913,7090,11475,659240,617118,1653,3676,135333,142786,127,228,7489,10740,587,1311,44860,50391,390,1163,32283,33928,180,392,15545,15575,186,303,17721,16243,183,279,17432,15907,1453,3203,111966,125401,148,260,7613,12569,545,1173,37536,46606,366,1054,29559,31876,174,356,15675,15339,108,188,10613,9313,112,172,10968,9696,640,1276,50941,55360,65,91,3629,5583,191,396,13973,16622,159,384,12810,13576,96,197,8705,8398,65,117,6077,5640,64,91,5745,5539
02,AK,Alaska,6,65042,162816,8576453,9020641,878,1580,75106,108005,9100,23809,1016544,1213992,15330,50572,1918840,2129642,12581,34583,1690010,1784498,12601,25896,1792385,1774953,14552,26376,2083565,2009549,62140,155870,8221543,8627114,786,1417,69001,96334,8304,21993,922938,1108825,14444,47928,1813599,2009236,12101,33397,1628662,1717804,12248,25235,1743076,1725297,14257,25900,2044265,1969615,2601,6513,335454,356024,75,125,5949,10599,589,1522,62882,77060,733,2350,91337,99352,451,1160,62138,63423,374,709,52442,52857,379,647,60703,52732,1936,4649,228231,261965,62,105,4182,8091,548,1237,58292,72421,612,1825,72163,82452,302,763,38364,41977,229,428,30806,32234,183,291,24421,24788,966,2297,126678,131561,30,58,1922,3579,248,579,35313,32746,274,819,33077,37953,178,423,22983,24716,124,233,18502,17420,112,185,14879,15145
02,AK,Alaska,7,24613,65510,9184256,9960442,39,62,5897,10279,1315,3529,327746,405495,5388,19215,1634345,1855535,6013,18350,2312302,2364630,6013,13393,2455595,2645667,5845,10961,2448369,2678834,23747,63355,8941896,9670404,39,62,5897,10279,1222,3318,309357,378804,5133,18420,1567451,1776793,5815,17820,2254819,2298260,5809,12982,2393363,2573083,5729,10753,2411007,2633182,831,2117,245997,270777,0,0,0,0,105,262,23072,31008,186,629,50619,57665,170,478,55227,55252,219,470,60888,69799,151,278,56189,57051,561,1403,156842,188839,0,0,0,0,67,156,13243,19288,167,537,44186,52094,128,335,36844,43200,131,259,41037,47167,68,116,21530,27089,305,752,85517,101198,0,0,0,0,26,55,5145,7402,88,258,22707,26647,70,195,20639,23169,73,152,21194,25417,48,92,15831,18562
04,AZ,Arizona,0,2886673,5684144,270220692,269201344,384072,492607,12215069,12557198,549427,1077153,30022852,34207279,480675,1322695,44545300,47774105,418511,1012303,53089498,53625949,425965,780059,57131458,55350542,628023,999327,73216512,65686271,2716270,5394655,255504759,255292415,343468,443087,10662965,11242298,504794,998561,27495342,31413195,456864,1265771,42485238,45597892,401716,978018,51071910,51639137,407472,749337,53942137,52686480,601956,959881,69847164,62713410,104935,176908,8199940,8083141,24134,29369,933850,808648,29245,49895,1656278,1893996,15187,36865,1359627,1430055,9882,20302,1136019,1131747,9623,15590,1270783,1208397,16864,24887,1843379,1610296,121520,203123,11646714,10822076,27698,33043,1115919,918999,31766,53480,1923834,2098226,16555,39208,1592106,1661718,11789,24217,1577124,1547373,13660,22831,2683081,2171319,20052,30344,2754649,2424439,48883,86366,3069218,3086852,12906,16477,436184,395899,12867,25112,603674,695857,7256,17716,467956,514493,5006,10068,440464,439438,4833,7891,506239,492742,6015,9102,614699,548421
04,AZ,Arizona,1,185606,264530,4028625,973974,39789,47616,1216907,238805,27442,43517,478485,155727,16617,31276,324947,92700,14253,23122,301289,75859,20511,28359,458649,102708,66994,90640,1248346,308172,170746,244433,3580694,892090,34566,41524,1019267,207587,24359,38775,414048,138253,15159,28718,290519,84682,13241,21609,274319,70384,19258,26753,413481,96385,64163,87054,1169057,294797,9462,12727,287960,51280,3277,3780,138997,19616,2042,3080,44314,11299,898,1627,21486,4773,586,847,16931,3136,687,898,20798,3319,1972,2495,45431,9134,10393,13664,325932,56661,3570,4068,145172,20997,2160,3169,45355,12164,983,1645,23593,5333,704,1026,18974,3793,907,1158,32229,4517,2069,2598,60607,9854,4467,6433,121998,25222,1653,2024,52466,10221,923,1573,19081,5308,475,913,10835,2684,308,487,7995,1680,346,448,12938,1804,762,988,18680,3521
04,AZ,Arizona,2,437907,747949,11195293,7711648,123895,157531,3160004,2198411,84464,168731,1823980,1506387,55073,138562,1283267,977221,39458,83369,1007986,696599,41903,68141,1249162,737172,93114,131615,2670893,1595856,404863,697840,10129597,7134744,109985,141008,2667148,1954600,76837,154959,1629998,1371962,51476,130416,1191159,914945,37314,79509,930470,659145,39881,65285,1174096,702123,89370,126663,2536724,1531967,19896,29912,613535,348365,7833,9326,269210,137745,4836,8435,118281,85229,2176,4895,58568,38148,1239,2186,37989,21555,1175,1630,41408,20430,2637,3440,88078,45256,22869,33696,784271,399829,9462,10993,360903,166451,5364,9266,143519,94488,2393,5232,64303,41465,1483,2635,60275,25917,1424,1983,53789,24754,2743,3587,101480,46752,10175,16413,281424,177074,4448,5530,131952,77359,2263,4506,50462,39936,1204,2914,27803,20810,661,1225,17240,11536,598,873,21276,10294,1001,1365,32689,17136
04,AZ,Arizona,3,764887,1334068,28309877,28300090,163202,205462,4780705,5758641,191325,344687,6498943,7162314,118755,287096,4385966,4479683,88478,181028,3500257,3339065,89236,143924,3779713,3356284,113891,171871,5364290,4204101,719220,1264437,26510126,26632484,148271,187537,4263077,5234366,177460,322183,5998336,6646948,113182,275176,4161239,4271946,85027,174927,3344523,3210495,85779,138953,3607772,3227110,109501,165661,5135176,4041615,27348,40990,1087731,994355,8666,10481,293719,301880,8452,13327,308294,313277,3219,6797,134236,120424,2023,3446,90309,74832,1958,2725,95718,72488,3030,4214,165453,111450,30965,46042,1262374,1128396,9974,11805,356705,349768,9503,14793,350283,351984,3606,7532,149338,133835,2210,3914,103585,81928,2385,3386,125182,88906,3287,4612,177279,121973,14702,23589,537376,539209,4957,6120,160922,174505,4362,7711,150324,163381,1967,4388,75389,73901,1241,2187,52148,46641,1072,1585,46757,40267,1103,1598,51834,40511
